,I_ge
532,7.643390907132311
533,5.4881992085601
534,7.139647566765531
535,5.004741699491741
536,8.318852380734347
537,6.0508293319718645
538,5.106887731630808
539,6.046221409049567
540,6.809175529013862
541,6.469328105389273
542,5.0225206693998725
543,7.497031778183258
544,5.489058705730142
545,7.081967005945762
546,7.966700351687102
547,7.167580927078139
548,5.107718696404394
549,5.334826219685628
550,4.983104183564697
551,7.672759532002293
552,5.5354819938995306
553,7.060476266796642
554,4.939174226768968
555,5.219474332962522
556,5.212832798663361
557,8.110558571874192
558,7.3117868269269
559,5.615530116968701
560,5.071756136270242
561,5.143330183583667
562,6.8537227434422014
563,5.490055413184748
564,5.96259717221008
565,6.1329356972654505
566,6.988480861496072
567,5.039000628072222
568,5.0545259841122485
569,6.089413306404844
570,5.503233691084731
571,7.0970027123264545
572,6.889030786775317
573,6.4027997004016655
574,7.5051605024555545
575,6.765797812248382
576,4.973478493693086
577,8.223926247809118
578,7.952950043109409
579,7.80347835733234
580,6.473344609306965
581,7.7179664487661865
582,6.999464305470999
583,6.698372400888696
584,5.432165668269028
585,6.564240647905411
586,4.95146762905853
587,4.962276578787199
588,6.423883722892344
589,8.039373657909211
590,7.229026790271066
591,6.783884242786654
592,6.244320425243862
593,7.7431598248429845
594,6.777044908282224
595,5.889236926750981
596,6.342742187173464
597,8.075057584410178
598,8.036915790015925
599,6.535304462011371
600,5.0206260951115285
601,5.108496176264412
602,7.283282880938129
603,7.580012562180739
604,5.095839112289094
605,5.369029260661683
606,6.276092260866495
607,6.261941020965973
608,6.671226638313589
609,5.836769930476878
610,5.151041254469173
611,5.29486504737082
612,5.367373974370258
613,5.185126361172534
614,7.151436076928447
615,5.208500580136632
616,6.024437863493401
617,8.24570955777878
618,7.563883760501522
619,5.512541643009228
620,7.511203893666828
621,7.998487290302706
622,6.363437689623529
623,7.979678723986709
624,7.720316069262806
625,5.077272578024131
626,5.099636441032925
627,7.496581026711446
628,6.087470739627373
629,6.957369571916335
630,7.060413991073602
631,6.22423351190149
632,7.039879429639811
633,5.05440527017505
634,5.162494171185597
635,6.727404438270727
636,7.012144266663757
637,6.26769285279709
638,6.0331238507007106
639,4.989937060395774
640,8.039624991319533
641,6.795264250816301
642,6.593334932222802
643,5.7033789714826675
644,4.990271045599902
645,5.177918405546662
646,7.28523515620271
647,5.938334008404046
648,5.039832522638701
649,5.6377038598840805
650,4.9855288621286205
651,6.454796324798247
652,5.566663333406163
653,6.436449531568893
654,6.584316786085982
655,5.875083421078595
656,5.2161718690749845
657,6.0276977477803815
658,7.353999678000822
659,5.261699124312608
660,8.311245592849872
661,6.832726825041036
662,6.992545362260184
663,7.138045161124667
664,5.579411793241254
665,5.063325378482807
666,5.096803112560925
667,5.872121501689524
668,7.33639163628715
669,5.272900053434315
670,6.411562366074989
671,6.716158030874961
672,5.089267329001416
673,5.9264576464078065
674,6.8115394897083235
675,5.30755518721657
676,7.434570540366009
677,5.740665747284994
678,5.103820321585742
679,6.135599258866188
680,5.201424066636285
681,7.731729548152167
682,5.359204117224848
683,5.8021519972709354
684,5.670633028848674
685,6.4910066437807865
686,5.41850728157914
687,5.1899679689688165
688,5.697913673022298
689,5.8352950914546735
690,5.022013818511859
691,6.717644693181048
692,7.448251891366719
693,6.621123266623812
694,4.995536624229162
695,5.859524827578778
696,6.545768458598738
697,5.5095854426722175
698,5.139748290957657
699,5.156665413398652
700,6.137447583213135
701,5.252702659361259
702,6.571821049524798
703,7.037706191832942
704,7.162298111796906
705,6.602831668361102
706,4.955848865013474
707,5.52228024897749
708,5.162455734452059
709,7.2494574586164005
710,5.001934579195222
711,7.824884891840419
712,7.626988028329745
713,6.178202787614606
714,5.990067650926716
715,8.166747117450265
716,7.476171181629733
717,6.0162478345186035
718,5.12922027400794
719,5.002681737650578
720,6.695405018208591
721,6.732008555164174
722,6.1866499721696755
723,5.198191473874359
724,5.124168695825924
725,5.459027868175447
726,5.000882125384843
727,6.969138867107327
728,5.038158956974103
729,8.126375004610166
730,6.79544053094668
731,7.641719966616533
732,8.027493728398664
733,7.429321062831806
734,7.787106851355295
735,6.523992018028987
736,7.57937079444471
737,7.077990709613876
738,5.246299791736497
739,6.910152340110411
740,5.448346291868811
741,7.2753687378725775
742,7.539339861569182
743,7.16231912755009
744,6.957838459442485
745,6.58325749342935
746,6.626997190033428
747,7.472290194147727
748,5.478158714053553
749,6.213820698181361
750,4.949445002361962
751,6.610077724029134
752,5.402089461627359
753,6.213546389087885
754,8.030526585888039
755,7.732655412559369
756,5.548970133359314
757,6.561807989933921
758,5.292202121060977
